"","site_id","lon","lat"
"1","ZO_001",35.5987,-15.5159
"2","ZO_002",35.593021,-15.521341
"3","ZO_003",35.57704,-15.4407
"4","ZO_004",35.57334,-15.44165
"5","ZO_005",35.5521,-15.45099
"6","NS_001",35.156,-16.524
"7","NS_002",35.1025,-16.3111
"8","CH_001",34.9134,-16.2349
"9","CH_004",34.9263,-16.2464
"10","CH_002",34.9228,-16.2429
"11","CH_003",34.9271,-16.2418
"12","CH_005",34.8656,-16.2645
"13","PH_002",35.62562,-15.5349
"14","PH_003",35.6613,-15.5215
"15","PH_004",35.62948,-15.50357
"16","PH_005",35.632,-15.503
"17","PH_006",35.6371,-15.5004
"18","PH_007",35.5626,-15.5628
"19","PH_008",35.55505,-15.57584
"20","PH_009",35.53966,-15.62555
"21","CH_006",34.9158,-16.2044
"22","CH_008",34.9257,-16.2463
"23","CH_009",34.9254,-16.2424
"24","CH_007",34.8656,-16.2645
"25","ZO_006",35.44017,-15.4807
"26","ZO_007",35.47379,-15.4872
"27","ZO_008",35.47871,-15.47829
"28","ZO_009",35.09611,-15.52844
"29","CH_010",34.85,-15.6265
"30","PH_010",35.5673,-15.6265
"31","PH_011",35.5288,-15.6448
"32","PH_012",35.5953,-15.611
"33","PH_013",35.5239,-15.6528
"34","PH_014",35.69425,-15.51215
"35","NS_003",35.134369,-16.626176
"36","NS_004",35.1223,-16.3928
"37","NS_005",35.1338,-16.4059
"38","NS_006",35.063022,-16.498546
"39","CH_011",34.8512,-16.1588
"40","CH_012",34.8337,-16.0924
"41","CH_013",34.8362,-16.098
"42","ZO_010",35.634,-15.4769
"43","ZO_011",35.5808,-15.5294
"44","ZO_012",35.551,-15.5335
"45","ZO_013",35.5192,-15.4814
"46","NS_007",35.163083,-16.428486
"47","ZO_014",35.5396,-15.4621
"48","NS_008",35.1057,-16.2752
"49","PH_015",35.79199,-15.87632
"50","PH_016",35.7735,-15.8663
"51","PH_017",35.81562,-15.8573
"52","PH_019",35.792,-15.2847
"53","PH_018",35.7868,-15.8456
"54","ZO_015",35.4903,-15.4902
"55","CH_016",34.8174,-16.0208
"56","CH_015",34.8511,-16.1537
"57","CH_014",34.9129,-16.2582
"58","ZO_016",35.5678,-15.4282
"59","PH_020",35.5425,-15.7209
"60","PH_021",35.5708,-15.7904
"61","ZO_017",35.546194,-15.427909
"62","ZO_018",35.577873,-15.419173
"63","NS_010",35.219,-17.086
"64","NS_011",35.223,-17.098
"65","CH_029",34.9092,-16.4081
"66","CH_030",34.9327,-16.4596
"67","CH_028",34.9328,-16.4595
"68","NS_27",35.1313,-16.585
"69","CH_021",34.8317,-16.0242
"70","NS_030",35.1725,-16.515
"71","NS_029",35.1321,-16.4027
"72","NS_012",35.224,-17.125
"73","NS_013",35.7736,-15.8661
"74","CH_022",34.8512,-16.1515
"75","CH_020",34.8762,-16.1203
"76","CH_019",34.8776,-15.6233
"77","CH_018",34.875,-16.2704
"78","NS_014",35.1459,-16.4243
"79","NS_015",35.167,-16.5327
"80","NS_016",35.145,-16.4159
"81","NS_017",35.1622,-16.4342
"82","NS_018",35.1817,-16.493
"83","NS_019",35.1337,-17.11
"84","NS_020",35.1229,-16.5938
"85","NS_021",35.1541,-16.5551
"86","NS_022",35.1657,-16.4521
"87","NS_023",35.1354,-16.5631
"88","PH_022",35.7588,-15.5819
"89","PH_23",35.7511,-15.6231
"90","PH_024",35.72432,-15.66736
"91","CH_023",34.8741,-16.53859
"92","CH_024",34.8847,-16.4596
"93","CH_028",34.7203,-16.4597
"94","CH_025",34.8923,-16.5441
"95","CH_026",34.9154,-16.5292
"96","N2_024",35.1719,-16.497
"97","PH_025",35.7548,-15.6702
"98","PH_026",35.7946,-15.5901
"99","PH_027",35.8086,-15.5701
"100","PH-028",35.78429,-15.52927
"101","PH-029",35.7831,-15.5497
"102","CH_027",34.8602,-16.3965
"103","CH_017",34.9118705687527,-16.494616115182
"104","CH_031",34.781106,-16.022023
"105","NS_024",35.286312,-16.852653
"106","NS_027",35.219081,-16.964839
"107","NS_032",35.2229999789565,-17.0980000050956
"108","ZO_019",35.21247,-15.39318
"109","ZO_020",35.415226,-15.232446
"110","ZO_021",35.58405,-15.44192
"111","ZO_022",35.37341,-15.44174
"112","ZO_023",35.550772,-15.452274
